Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
16890574,1,294.92993,312.91202
16890574,1,294.92996,312.91205
16890574,1,294.93,312.91208
16890574,1,294.93005,312.9121
16890574,1,294.93008,312.9121
16890574,1,294.9301,312.91214
16890574,1,294.93018,312.91217
16890574,1,294.9302,312.91217
16890574,1,294.93024,312.9122
16890574,1,294.93027,312.91223
16890574,1,294.9303,312.91223
16890574,1,294.93036,312.91226
16890574,1,294.9304,312.9123
16890574,1,294.93042,312.9123
16890574,1,294.93045,312.91232
16890574,1,294.93045,312.91235
16890574,1,294.93048,312.91238
16890574,1,294.9305,312.91238
16890574,1,294.93054,312.9124
16890574,1,294.93054,312.91245
16890574,1,294.93054,312.91245
16890574,1,294.93057,312.91248
16890574,1,294.93057,312.9125
16890574,1,294.93057,312.9125
16890574,1,294.93057,312.91254
16890574,1,294.93057,312.91257
16890574,1,294.93057,312.91257
16890574,1,294.93054,312.9126
16890574,1,294.93054,312.91263
16890574,1,294.93054,312.91266
16890576,1,294.9305,312.91266
16890576,1,294.9305,312.9127
16890576,1,294.93048,312.91272
16890576,1,294.93048,312.91272
16890576,1,294.93045,312.91275
16890576,1,294.93042,312.91278
16890576,1,294.93042,312.91278
16890576,1,294.9304,312.9128
16890576,1,294.93036,312.91284
16890576,1,294.93033,312.91284
16890576,1,294.9303,312.91287
16890576,1,294.93027,312.9129
16890576,1,294.93024,312.91293
16890576,1,294.9302,312.91293
16890576,1,294.93018,312.91296
16890576,1,294.93015,312.913
16890576,1,294.9301,312.913
16890576,1,294.93008,312.91302
16890576,1,294.93005,312.91306
16890576,1,294.93002,312.91306
16890576,1,294.93,312.9131
16890576,1,294.92996,312.91312
16890576,1,294.92993,312.91315
16890576,1,294.9299,312.91315
16890576,1,294.92987,312.91318
